sample_type,metric,description,stage,metrics_file,nn_lower,nn_upper,ideal_lower,ideal_upper,metrics_file_generated,component_report_generated,Rationale/reference
Experimental,Amplified_library_yield,"Yield of amplified DNA required for quantitation and sequencing by AGRF (ng, assuming 650bp fragment size and 4 samples per lane)",Library preparation,Qubit,85,100,100,200,TRUE,TRUE,"85ng is absolute minimum, more gives buffer"
Experimental,Amplified_library_yield_variability,Variability in amplified DNA yield between samples (normalised IQR),Library preparation,Qubit,0,0.3,0,0.2,TRUE,TRUE,0.2 is a common target for assay development
Experimental,Amplified_library_fragment_size,Fragment sizes of library following amplification (bp),Library preparation,E-Gel,370,870,470,670,TRUE,TRUE,"570bp gives ideal overlap, 870bp gives no overlap and 370bp gives 50bp overlap"
Experimental,Amplified_no_template_control_size,Fragment sizes of undiluted no template control after amplification,Library preparation,E-Gel,284,568,284,568,TRUE,TRUE,Defined bands at 284 (quadruplex) and 568bp (quadruplex dimer) without smears. Band at ~400bp may also be present.
Matched,ms_mask_coverage,Percentage of reference genome masked by combined mask,Mask regions,mask_metrics.txt,0.1,30,0.1,20,TRUE,TRUE,"Even if only masking germline variants, percent masked should be at least 0.1%"
Experimental_lane,ex_lane_per_sequence_quality_score_r1,Peak in mean sequence quality across r1 reads (Phred score),Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,35,40,39,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_sequence_quality_score_r2,Peak in mean sequence quality across r2 reads (Phred score),Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,35,40,39,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_base_sequencing_quality_r1,Lower quartile of IQR for base quality at each position in reads (Phred score),Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,30,40,35,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_base_sequencing_quality_r2,Lower quartile of IQR for base quality at each position in reads (Phred score),Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,30,40,35,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_tile_sequencing_quality_r1,Percent of flow cell tiles where mean quality score is <Q36,Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_tile_sequencing_quality_r2,Percent of flow cell tiles where mean quality score is <Q36,Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_sequence_length_r1,Peak of read length distribution (bp),Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,150,150,150,150,TRUE,TRUE,Reads should all be 150bp (if requesting 150PE)
Experimental_lane,ex_lane_sequence_length_r2,Peak of read length distribution (bp),Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,150,150,150,150,TRUE,TRUE,Reads should all be 150bp (if requesting 150PE)
Experimental_lane,ex_lane_percent_read_contribution,Difference in the percentage of total read pairs that belong to each sample,Preprocess experimental sample fastq,demux_metrics.json,0,50,0,20,TRUE,TRUE,"If products are correctly formed in all samples, the difference in total reads within the pool should be small "
Experimental_lane,ex_lane_total_reads_r1,Total number of reads obtained from standard Illumina sequencing by AGRF (x million reads),Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,1000,Inf,3000,Inf,TRUE,TRUE,"nn based on 1B lane, ideal based on 3B lane"
Experimental_lane,ex_lane_total_reads_r2,Total number of reads obtained from standard Illumina sequencing by AGRF (x million reads),Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,750,Inf,2250,Inf,TRUE,TRUE,"nn based on 1B lane, ideal based on 3B lane"
Experimental,ex_percent_reads_filtered_readlength,Percentage of initial reads filtered due to low read length,Preprocess experimental sample fastq,filter_readlength_metrics.json,0,30,0,10,TRUE,TRUE,Typically read pairs are filtered if read length <70bp
Experimental,ex_percent_reads_filtered_meanquality,Percentage of remaining reads filtered due to low mean quality score,Preprocess experimental sample fastq,filter_meanquality_metrics.json,0,20,0,10,TRUE,TRUE,Typically read pairs are filtered if mean quality score is <36x
Experimental,ex_overrepresented_sequences_r1,Percentage of total sequences made up by any one identical sequence,Preprocess experimental sample fastq,r1_filter_metrics.zip,0,1,0,0.1,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_overrepresented_sequences_r2,Percentage of total sequences made up by any one identical sequence,Preprocess experimental sample fastq,r2_filter_metrics.zip,0,1,0,0.1,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_gc_deviation_r1,The percentage of reads deviating from a normal distribution for mean GC content,Preprocess experimental sample fastq,r1_filter_metrics.zip,0,30,0,15,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_gc_deviation_r2,The percentage of reads deviating from a normal distribution for mean GC content,Preprocess experimental sample fastq,r2_filter_metrics.zip,0,30,0,15,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_per_base_content_diff_r1,Percent difference in the proportion of A/T/C/G at each position in reads,Preprocess experimental sample fastq,r1_filter_metrics.zip,0,20,0,10,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_per_base_content_diff_r2,Percent difference in the proportion of A/T/C/G at each position in reads,Preprocess experimental sample fastq,r2_filter_metrics.zip,0,20,0,10,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_per_base_N_content_r1,Percentage of bases at each read position recorded as N,Preprocess experimental sample fastq,r1_filter_metrics.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_per_base_N_content_r2,Percentage of bases at each read position recorded as N,Preprocess experimental sample fastq,r2_filter_metrics.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_sequence_quality_score_r1,Peak in mean sequence quality across r1 reads (Phred score),Preprocess matched sample fastq,r1_raw_fastqc.zip,35,40,39,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_sequence_quality_score_r2,Peak in mean sequence quality across r2 reads (Phred score),Preprocess matched sample fastq,r2_raw_fastqc.zip,35,40,39,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_percent_reads_filtered,Percentage of initial reads filtered out after trimming and quality filtering,Preprocess matched sample fastq,trimfilter_metrics.tsv,0,30,0,10,TRUE,TRUE,Losing more than 30% of reads indicates poor quality (as long as filters are set correctly)
Matched,ms_total_reads_r1,Total number of reads obtained from standard Illumina sequencing by AGRF (x million reads),Preprocess matched sample fastq,r1_raw_fastqc.zip,200,Inf,300,Inf,TRUE,TRUE,AGRF sequences to 100Gb or ~333 million read pairs
Matched,ms_total_reads_r2,Total number of reads obtained from standard Illumina sequencing by AGRF (x million reads),Preprocess matched sample fastq,r2_raw_fastqc.zip,200,Inf,300,Inf,TRUE,TRUE,AGRF sequences to 100Gb or ~333 million read pairs
Matched,ms_overrepresented_sequences_r1,Percentage of total sequences made up by any one identical sequence,Preprocess matched sample fastq,trimfilter_r1_fastqc.zip,0,1,0,0.1,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_overrepresented_sequences_r2,Percentage of total sequences made up by any one identical sequence,Preprocess matched sample fastq,trimfilter_r2_fastqc.zip,0,1,0,0.1,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_gc_deviation_r1,The percentage of reads deviating from a normal distribution for mean GC content,Preprocess matched sample fastq,trimfilter_r1_fastqc.zip,0,30,0,15,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_gc_deviation_r2,The percentage of reads deviating from a normal distribution for mean GC content,Preprocess matched sample fastq,trimfilter_r2_fastqc.zip,0,30,0,15,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_content_diff_r1,Percent difference in the proportion of A/T or C/G at each position in reads,Preprocess matched sample fastq,trimfilter_r1_fastqc.zip,0,20,0,10,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_content_diff_r2,Percent difference in the proportion of A/T or C/G at each position in reads,Preprocess matched sample fastq,trimfilter_r2_fastqc.zip,0,20,0,10,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_sequencing_quality_r1,Lower quartile of IQR for base quality at each position in reads (Phred score),Preprocess matched sample fastq,r1_raw_fastqc.zip,30,40,35,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_sequencing_quality_r2,Lower quartile of IQR for base quality at each position in reads (Phred score),Preprocess matched sample fastq,r2_raw_fastqc.zip,30,40,35,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_tile_sequencing_quality_r1,Percent of flow cell tiles where mean quality score is <Q36,Preprocess matched sample fastq,r1_raw_fastqc.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_tile_sequencing_quality_r2,Percent of flow cell tiles where mean quality score is <Q36,Preprocess matched sample fastq,r2_raw_fastqc.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_sequence_length_r1,Peak of read length distribution (bp),Preprocess matched sample fastq,r1_raw_fastqc.zip,150,150,150,150,TRUE,TRUE,Reads should all be 150bp (if requesting 150PE)
Matched,ms_sequence_length_r2,Peak of read length distribution (bp),Preprocess matched sample fastq,r2_raw_fastqc.zip,150,150,150,150,TRUE,TRUE,Reads should all be 150bp (if requesting 150PE)
Matched,ms_per_base_N_content_r1,Percentage of bases at each read position recorded as N,Preprocess matched sample fastq,trimfilter_r1_fastqc.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_N_content_r2,Percentage of bases at each read position recorded as N,Preprocess matched sample fastq,trimfilter_r2_fastqc.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
